srodowisko;klucz;metoda_kluczowania;wc_id_prod;wc_id_srodowiska;sku_obecny;ean_docelowy;zrodlo_decyzji;blok;cennik_lp;nazwa_wc_prod;nazwa_w_srodowisku;status
STAGING;1550;WC_ID;1550;1550;;5903317643296;BEZ_SKU;C;55;Magnez B6 VEGAN 60 kapsułek;Magnez B6 VEGAN;DO_ZAPISU
STAGING;1549;WC_ID;1549;1549;;5903317643326;BEZ_SKU;C;52;LUTEINA Vegan 60 kapsułek;LUTEINA Vegan;DO_ZAPISU
STAGING;1486;WC_ID;1486;1486;;5903317643319;BEZ_SKU;C;51;LIBIDO Vegan 60 kapsułek;LIBIDO Vegan;DO_ZAPISU
STAGING;GV-112;SKU;65;65;GV-112;5907636994039;KANDYDAT_1;C;54;Magnez B6 60 kapsułek;Magnez B6 60 kapsułek;DO_ZAPISU
STAGING;GV-95;SKU;218;218;GV-95;5907636994640;KANDYDAT_1;C;123;Żel ze świetlikiem i kolagenem 20 ml;Żel ze świetlikiem i kolagenem 20 ml;DO_ZAPISU
STAGING;GV-40;SKU;37;37;GV-40;8594011210012;KANDYDAT_1;C;31;Colacal - kolagen z wapniem 60 kapsułek;Colacal - kolagen z wapniem 60 kapsułek;DO_ZAPISU
STAGING;GV-44;SKU;45;45;GV-44;5907636994053;KANDYDAT_1;C;36;Cynk + witamina B6 30 tabletek;Cynk + witamina B6 30 tabletek;DO_ZAPISU
STAGING;GV-109;SKU;157;157;GV-109;5907636994398;KANDYDAT_1;C;64;Maść Nagietkowa 130ml;Maść Nagietkowa 130ml;DO_ZAPISU
STAGING;GV-69;SKU;230;230;GV-69;5907636994770;KANDYDAT_1;C;90;Pneumovit BABY 35 ml;Pneumovit BABY 35 ml;DO_ZAPISU
STAGING;GV-122;SKU;69;69;GV-122;5903317643111;KANDYDAT_1;C;82;Olej z konopii CBD 10% 10ml;Olej z konopii CBD 10% 10ml;DO_ZAPISU
STAGING;GV-123;SKU;70;70;GV-123;5903317643128;KANDYDAT_1;C;83;Olej z konopii CBD 10% 20ml;Olej z konopii CBD 10% 20ml;DO_ZAPISU
STAGING;GV-124;SKU;71;71;GV-124;5903317643098;KANDYDAT_1;C;84;Olej z konopii CBD 5% 10ml;Olej z konopii CBD 5% 10ml;DO_ZAPISU
STAGING;GV-125;SKU;72;72;GV-125;5903317643104;KANDYDAT_1;C;85;Olej z konopii CBD 5% 20ml;Olej z konopii CBD 5% 20ml;DO_ZAPISU
STAGING;GV-148;SKU;165;165;GV-148;5903317643265;KANDYDAT_1;C;68;Maść Rumiankowa z olejem CBD 5% 80 ml;Maść Rumiankowa z olejem CBD 5% 80 ml;DO_ZAPISU
STAGING;GV-108;SKU;195;195;GV-108;5907636994305;KANDYDAT_1;C;97;RABKA SPA MINERALE spray 200 ml;RABKA SPA MINERALE spray 200 ml;DO_ZAPISU
STAGING;GV-114;SKU;23;23;GV-114;5903317643012;KANDYDAT_1;C;20;Calcium Natural 70 kapsułek;Calcium Natural 70 kapsułek;DO_ZAPISU
