flaga;metoda;pewnosc;score;lp;ean;bloz;cennik_nazwa;netto_100;vat_cennik;wc_id;wc_sku;wc_nazwa;wc_status;brutto_wc;tax_class;vat_wc;netto_wc;roznica_zl;roznica_pct;brutto_oczek;delta_brutto;vat_zgodny
;NAZWA;NIEPEWNE;0.76;79;5903317643203;3917561;OLEJ CBD W KAPSUŁKACH x60 KAPS.;64.00;8%;67;GV-143;Olej CBD w Kapsułkach;publish;69.00;reduced-rate;8%;63.89;-0.11;-0.2%;69.12;-0.12;T
;NAZWA;NIEPEWNE;0.718;85;5903317643104;3671881;OLEK Z KONOPI 5% 20ml;164.00;8%;72;GV-125;Olej z konopii CBD 5% 20ml;publish;177.00;reduced-rate;8%;163.89;-0.11;-0.1%;177.12;-0.12;T
;NAZWA;NIEPEWNE;0.603;51;5903317643319;4071041;LIBIDO VEGAN X 60 KAPS.;39.00;8%;1486;;LIBIDO Vegan;publish;42.00;reduced-rate;8%;38.89;-0.11;-0.3%;42.12;-0.12;T
;EAN;PEWNE;1.0;47;5907636994114;8008821;KOENZYM Q10 30 MG Z MAGNEZEM X 30 KAPS.;21.40;8%;2052;5907636994114;Koenzym Q10 30mg z Magnezem x30 kaps.;publish;23.00;reduced-rate;8%;21.30;-0.10;-0.5%;23.11;-0.11;T
;NAZWA;NIEPEWNE;0.886;30;5907636994978;3278721;CITROGREFT x60 kaps.;24.90;8%;35;GV-103;Citrogreft 60 kapsułek;publish;27.00;reduced-rate;8%;25.00;+0.10;+0.4%;26.89;+0.11;T
;NAZWA;NIEPEWNE;0.81;115;5903317643227;7091949;ŻEL ŁAGODZĄCY PO UKĄSZENIACH 20 ML;8.90;;209;GV-147;Żel łagodzący po ukąszeniach owadów 20ml;publish;9.00;zero-rate;0%;9.00;+0.10;+1.1%;;;
;NAZWA;NIEPEWNE;0.991;72;5903317643180;7084386;MAŚĆ Z KURKUMĄ, NAGIETKIEM i OLEJEM CBD 5%;18.60;23%;171;GV-132;Maść z kurkumą, nagietkiem i olejem CBD 5% 80 ml;publish;23.00;standard;23%;18.70;+0.10;+0.5%;22.88;+0.12;T
;NAZWA;NIEPEWNE;1.119;44;5907636994183;8176411;HEPASAL X 40 KAPS.;14.90;8%;57;GV-136;Hepasal 40 kapsułek;publish;16.00;reduced-rate;8%;14.81;-0.09;-0.6%;16.09;-0.09;T
;NAZWA;NIEPEWNE;0.972;11;8594011210104;8060202;ARTROFIT X 60 KAPS.;51.00;8%;18;GV-33;Artrofit 3w1 60 kapsułek;publish;55.00;reduced-rate;8%;50.93;-0.07;-0.1%;55.08;-0.08;T
;NAZWA;NIEPEWNE;1.15;86;5903317643074;3436481;OSTROPEST MIELONY 150g;12.90;8%;73;GV-129;OSTROPEST mielony 150g;publish;14.00;reduced-rate;8%;12.96;+0.06;+0.5%;13.93;+0.07;T
;EAN;PEWNE;1.0;7;5907636994220;8948701;APLEPLUS FORTE Z ZIELONĄ HERBATĄ x 30 kaps.;15.80;8%;2042;5907636994220;Apleplus Forte z Zieloną Herbatą x30 kaps.;publish;17.00;reduced-rate;8%;15.74;-0.06;-0.4%;17.06;-0.06;T
;NAZWA;NIEPEWNE;1.05;116;5907636994312;9057979;ŻEL PNEUMOVIT 100 ML;15.80;8%;189;GV-87;Pneumovit Żel 100 ml;publish;17.00;reduced-rate;8%;15.74;-0.06;-0.4%;17.06;-0.06;T
;NAZWA;NIEPEWNE;1.15;71;5907636994633;7043458;MAŚĆ WITAMINOWA A,E,F 20ML;9.00;23%;169;GV-62;Maść Witaminowa A,E,F 20ml;publish;11.00;standard;23%;8.94;-0.06;-0.6%;11.07;-0.07;T
;EAN;PEWNE;1.0;4;5907636994756;8931301;ALOEVERA Z ZIELONĄ HERBATĄ X 60 KAPS.;19.50;8%;2038;5907636994756;AloeVera z Zieloną Herbatą x60 kaps.;publish;21.00;reduced-rate;8%;19.44;-0.06;-0.3%;21.06;-0.06;T
;NAZWA;NIEPEWNE;0.946;1;5907636994152;6150571;ACEROLA x 60 KAPS.;19.50;8%;12;GV-22;Acerola 500mg 60 kapsułek;publish;21.00;reduced-rate;8%;19.44;-0.06;-0.3%;21.06;-0.06;T
;EAN;PEWNE;1.0;106;5903317643302;4071061;WITAMINA C 500mg VEGAN z Aceroli X 60 KAPS.;19.40;8%;1441;5903317643302;Witamina C 500mg VEGAN;publish;21.00;reduced-rate;8%;19.44;+0.04;+0.2%;20.95;+0.05;T
;EAN;PEWNE;1.0;39;5907636994589;8482111;ENERGIA x30 kaps;13.00;8%;47;5907636994589;Energia;publish;14.00;reduced-rate;8%;12.96;-0.04;-0.3%;14.04;-0.04;T
;EAN;PEWNE;1.0;22;5907636994725;4391351;CARBOCAPS X20 kaps.;8.30;8%;2049;5907636994725;Carbocaps x20 kaps.;publish;9.00;reduced-rate;8%;8.33;+0.03;+0.4%;8.96;+0.04;T
;EAN;PEWNE;1.0;101;5907636994022;6996002;SELEN A ,C, E ANTYOKSYDANTY X 30 TAB.;18.50;8%;2063;5907636994022;Selen A,C,E Antyoksydanty x30 tab.;publish;20.00;reduced-rate;8%;18.52;+0.02;+0.1%;19.98;+0.02;T
;NAZWA;NIEPEWNE;1.15;107;5907636994343;7038468;ZDROWA STOPA KREMO – ŻEL DO STÓP 100 ML;11.40;23%;203;GV-79;Zdrowa Stopa Kremo - Żel do stóp 100 ml;publish;14.00;standard;23%;11.38;-0.02;-0.2%;14.02;-0.02;T
;NAZWA;NIEPEWNE;0.981;81;5907636994329;9058478;OLEJEK PICHTOWY W ŻELU 100 ML;13.90;8%;183;GV-66;Olejek Pichtowy 100 ml;publish;15.00;reduced-rate;8%;13.89;-0.01;-0.1%;15.01;-0.01;T
;NAZWA;NIEPEWNE;1.15;65;5907636994244;7056835;MAŚĆ NIEDŹWIEDZI ZĄB 200 ML;18.70;23%;159;GV-60;Maść Niedźwiedzi Ząb 200 ml;publish;23.00;standard;23%;18.70;-0.00;-0.0%;23.00;-0.00;T
;NAZWA;NIEPEWNE;1.15;67;5903317643029;7074429;MAŚĆ ROKITNIKOWA 140ML;18.70;23%;163;GV-111;Maść Rokitnikowa 140ml;publish;23.00;standard;23%;18.70;-0.00;-0.0%;23.00;-0.00;T
;NAZWA;NIEPEWNE;0.838;57;5907636994626;4821511;MAŚĆ BOROWINOWA 130ML;18.70;23%;141;GV-55;Maść Borowinowa 130 ml;publish;23.00;standard;23%;18.70;-0.00;-0.0%;23.00;-0.00;T
