# plan_cen (STAGING) — Etap 2, WYŁĄCZNIE PLAN. Klucz: SKU (EAN-13). Kolejność: DO_IMPORTU, BLOKADA, BRAK_EAN, WYKLUCZONE, BEZ_ZMIAN
sku;wc_id;wc_nazwa;cennik_lp;cennik_nazwa;cennik_ean;metoda;netto_cennik;vat_cennik;klasa_wc;vat_wc;brutto_docelowy;brutto_obecny;delta_brutto;sale_price;decyzja;powod
5907636994282;2061;Pneumovit Sept Aerozol 35ml;93;PNEUMOVIT SEPT AEROZOL DO GARDŁA 35 ML;5907636994282;EAN;15.40;8%;reduced-rate;8%;16.63;17.00;-0.37;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994527;210;Żel z Arniką i Bursztynem 200 ml;118;ŻEL Z ARNIKĄ I BURSZTYNEM 200 ML;5907636994527;EAN;19.00;23%;(standard);23%;23.37;23.00;+0.37;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994077;27;CARBOSAL + z czarną jagodą 30 kapsułek;24;CARBOSAL + Z CZARNĄ JAGODĄ X 30 KAPS.;5907636994077;EAN;11.70;8%;reduced-rate;8%;12.64;13.00;-0.36;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994602;113;Końska Maść Chłodząca 130 ml;61;MAŚĆ KOŃSKA CHŁODZĄCA 130 ML;5907636994602;EAN;11.90;23%;(standard);23%;14.64;15.00;-0.36;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994558;2056;Maść Końska Rozgrzewająca 130ml;63;MAŚĆ KOŃSKA ROZGRZEWAJĄCA 130 ML;5907636994558;EAN;11.90;23%;(standard);23%;14.64;15.00;-0.36;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994404;55;GOTU KOLA x60 kapsułek;43;GOTU KOLA;5907636994404;EAN;17.90;8%;reduced-rate;8%;19.33;19.00;+0.33;;DO_IMPORTU;import ceny regularnej brutto z cennika
8594011210111;39;Colafit 60 kostek;32;COLAFIT KOLAGEN 99,9% X 60 KOSTEK;8594011210111;EAN;71.00;8%;reduced-rate;8%;76.68;77.00;-0.32;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994251;103;Balsam Koński 250 ml;48;KOŃSKI BALSAM 250 ML;5907636994251;EAN;16.00;23%;(standard);23%;19.68;20.00;-0.32;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643234;177;Mosqitos 100ml;75;MOSQITOS PŁYN OCHRONNY NA SKÓRĘ 100ML;5903317643234;EAN;9.50;23%;(standard);23%;11.69;12.00;-0.31;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994176;87;Zielony Jęczmień 120 kapsułek;111;ZIELONY JĘCZMIEŃ X 120 KAPS.;5907636994176;EAN;34.90;8%;reduced-rate;8%;37.69;38.00;-0.31;;DO_IMPORTU;import ceny regularnej brutto z cennika
