# plan_ean_STAGING — sekcja 1: DO_WERYFIKACJI (w tym wymuszone: sprzeczna gramatura/pojemność), potem AUTO, potem POMIŃ
sku;wc_id;wc_sku_obecny;wc_nazwa;cennik_lp;cennik_nazwa;cennik_ean;score;runner_up;metoda;decyzja;powod_pominiecia;powod
GV-134;27;GV-134;CARBOSAL + z czarną jagodą 30 kapsułek;24;CARBOSAL + Z CZARNĄ JAGODĄ X 30 KAPS.;5907636994077;1.135;0.583;NAZWA;AUTO;;
GV-76;81;GV-76;Silicum + H ( KRZEM+ BIOTYNA ) 30 tabletek;102;SILICUM + H (KRZEM+BIOTYNA ) X 30 TAB.;5907636994015;1.134;0.519;NAZWA;AUTO;;
GV-83;87;GV-83;Zielony Jęczmień 120 kapsułek;111;ZIELONY JĘCZMIEŃ X 120 KAPS.;5907636994176;1.131;0.451;NAZWA;AUTO;;
GV-82;89;GV-82;Zielony Jęczmień 60 kapsułek;112;ZIELONY JĘCZMIEŃ X 60 KAPS.;5907636994732;1.130;0.643;NAZWA;AUTO;;
GV-35;19;GV-35;Babka Płesznik 60 kapsułek;16;BABKA PŁESZNIK X 60 KAPS.;5907636994749;1.128;0.632;NAZWA;AUTO;;
GV-81;85;GV-81;Zielona Kawa 60 kapsułek;109;ZIELONA KAWA X 60 KAPS.;5907636994428;1.126;0.740;NAZWA;AUTO;;
GV-31;16;GV-31;ARTREVIT 60 kapsułek;9;ARTREVIT X 60 KAPS.;5907636994800;1.121;0.812;NAZWA;AUTO;;
GV-136;57;GV-136;Hepasal 40 kapsułek;44;HEPASAL X 40 KAPS.;5907636994183;1.119;0.350;NAZWA;AUTO;;
GV-59;113;GV-59;Końska Maść Chłodząca 130 ml;61;MAŚĆ KOŃSKA CHŁODZĄCA 130 ML;5907636994602;1.061;0.720;NAZWA;AUTO;;
GV-87;189;GV-87;Pneumovit Żel 100 ml;116;ŻEL PNEUMOVIT 100 ML;5907636994312;1.050;0.783;NAZWA;AUTO;;
GV-88;191;GV-88;Pneumovit Żel 200 ml;117;ŻEL PNEUMOVIT 200 ML;5907636994213;1.050;0.814;NAZWA;AUTO;;
GV-150;179;GV-150;Mosqitos Zestaw Płyn 20ml i Żel 20ml;76;MOSQITOS ZESTAW PŁYN 20ML i ŻEL 20 ML;5903317643241;1.000;0.550;NAZWA;AUTO;;
GV-132;171;GV-132;Maść z kurkumą, nagietkiem i olejem CBD 5% 80 ml;72;MAŚĆ Z KURKUMĄ, NAGIETKIEM i OLEJEM CBD 5%;5903317643180;0.991;0.680;NAZWA;AUTO;;
GV-46;51;GV-46;Erotic dla mężczyzn - afrodyzjak 20 kapsułek;41;EROTIC DLA MĘŻCZYZN X 20 KAPS.;5907636994091;0.985;0.774;NAZWA;AUTO;;
GV-66;183;GV-66;Olejek Pichtowy 100 ml;81;OLEJEK PICHTOWY W ŻELU 100 ML;5907636994329;0.981;0.579;NAZWA;AUTO;;
GV-47;49;GV-47;Erotic dla kobiet - afrodyzjak 20 kapsułek;40;EROTIC DLA KOBIET X 20 KAPS.;5907636994084;0.979;0.774;NAZWA;AUTO;;
GV-36;101;GV-36;Balsam do ust z witaminami A,E,F 20 ml;17;BALSAM DO UST Z WITAMINAMI A,E,F 20ML;5907636994664;0.977;0.721;NAZWA;AUTO;;
GV-131;175;GV-131;Maść żywokostowa z olejem CBD 140ml;78;MAŚĆ ŻYWOKOSTOWA Z OLEJEM CBD 140ml;5903317643197;1.150;0.993;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.993 vs 1.150
5907636994756;2038;5907636994756;AloeVera z Zieloną Herbatą x60 kaps.;4;ALOEVERA Z ZIELONĄ HERBATĄ X 60 KAPS.;5907636994756;1.000;;EAN;POMIŃ;SKU_JUZ_EAN13;SKU już jest EAN-13 — nic do zrobienia
