lp;nazwa;netto_100;ean;bloz;cn;vat;kategoria;opak_zbiorcze
56;MAŚĆ ARNIKOWA 130ML;18.5;5907636994886;3027661;3304 99 00;0.23;Kosmetyk;60
57;MAŚĆ BOROWINOWA 130ML;18.7;5907636994626;4821511;3304 99 00;0.23;Kosmetyk;60
58;MAŚĆ DLA SPORTOWCÓW 150ML;18.5;5907636994442;7049996;3304 99 00;0.23;Kosmetyk;60
59;MAŚĆ KASZTANOWA 130 ML;18;5907636994541;3139611;3304 99 00;0.23;Kosmetyk;60
60;MAŚĆ KONOPNA 80 ml;21.9;5903317643135;7080813;3304 99 00;0.23;Kosmetyk;140
61;MAŚĆ KOŃSKA CHŁODZĄCA 130 ML;11.9;5907636994602;7041165;3304 99 00;0.23;Kosmetyk;60
62;MAŚĆ KOŃSKA ROZGRZEWAJACA 250ML;16.7;5907636994503;7038473;3304 99 00;0.23;Kosmetyk;60
63;MAŚĆ KOŃSKA ROZGRZEWAJĄCA 130 ML;11.9;5907636994558;7038480;3304 99 00;0.23;Kosmetyk;60
64;MAŚĆ NAGIETKOWA;18;5907636994398;3457861;3304 99 00;0.23;Kosmetyk;60
65;MAŚĆ NIEDŹWIEDZI ZĄB 200 ML;18.7;5907636994244;7056835;3304 99 00;0.23;Kosmetyk;60
66;MAŚĆ PROPOLISOWA 50ML;13.7;5907636994695;3531821;3304 99 00;0.23;Kosmetyk;120
67;MAŚĆ ROKITNIKOWA 140ML;18.7;5903317643029;7074429;3304 99 00;0.23;Kosmetyk;60
68;MAŚĆ RUMIANKOWA 80ML;11.3;5903317643265;7092597;3304 99 00;0.23;Kosmetyk;60
69;MAŚĆ ŚWIERKOWA 135 ML;19.7;5907636994237;7068925;3304 99 00;0.23;Kosmetyk;60
70;MAŚĆ WITAMINOWA 50ML;11.8;5907636994879;7043460;3304 99 00;0.23;Kosmetyk;120
71;MAŚĆ WITAMINOWA A,E,F 20ML;9;5907636994633;7043458;3304 99 00;0.23;Kosmetyk;400
72;MAŚĆ Z KURKUMĄ, NAGIETKIEM i OLEJEM CBD 5%;18.6;5903317643180;7084386;3304 99 00;0.23;Kosmetyk;120
73;MAŚĆ Z ŻYWORÓDKI 130ML;19;5907636994657;7045860;3304 99 00;0.23;Kosmetyk;60
