ID,SKU,nazwa,typ,status,_regular_price,_sale_price,tax_class,tax_status,liczba_wariantow,EAN_z_SKU
171,GV-132,"Maść z kurkumą, nagietkiem i olejem CBD 5% 80 ml",simple,publish,23.0,,,taxable,0,
173,GV-64,Maść z Żyworódki 130 ml,simple,publish,23.0,,,taxable,0,
175,GV-131,Maść żywokostowa z olejem CBD 140ml,simple,publish,25.0,,,taxable,0,
177,5903317643234,Mosqitos 100ml,simple,publish,12.0,,,taxable,0,5903317643234
179,GV-150,Mosqitos Zestaw Płyn 20ml i Żel 20ml,simple,publish,16.0,14.62,,taxable,0,
181,GV-99,Olej Kokosowy w żelu 200 ml,simple,publish,22.0,,,taxable,0,
183,GV-66,Olejek Pichtowy 100 ml,simple,publish,15.0,13.51,reduced-rate,taxable,0,
185,GV-67,Panthenol Pianka 100 ml,simple,publish,17.0,,,taxable,0,
187,5907636994534,Panthenol Żel 100 ml,simple,publish,17.0,,,taxable,0,5907636994534
189,GV-87,Pneumovit Żel 100 ml,simple,publish,17.0,,reduced-rate,taxable,0,
191,GV-88,Pneumovit Żel 200 ml,simple,publish,22.0,,reduced-rate,taxable,0,
193,GV-74,Puder Rodzinny Pielęgnacyjny 50 ml,simple,publish,12.0,,,taxable,0,
195,GV-108,RABKA SPA MINERALE spray 200 ml,simple,publish,17.0,,reduced-rate,taxable,0,
197,GV-107,RABKA SPA MINERALE żel 200 ml,simple,publish,19.0,,reduced-rate,taxable,0,
199,5907636994381,Venal Spray 115 ml,simple,publish,19.0,,,taxable,0,5907636994381
201,GV-78,Venal Żel 150 ml,simple,publish,22.0,,,taxable,0,
203,GV-79,Zdrowa Stopa Kremo - Żel do stóp 100 ml,simple,publish,14.0,,,taxable,0,
205,GV-85,Żel Anticelluitis 200 ml,simple,publish,21.0,,,taxable,0,
207,GV-86,Żel kasztanowy z rutyną 200 ml,simple,publish,23.0,,,taxable,0,
209,GV-147,Żel łagodzący po ukąszeniach owadów 20ml,simple,publish,9.0,,reduced-rate,taxable,0,
210,GV-89,Żel z Arniką i Bursztynem 200 ml,simple,publish,23.0,,,taxable,0,
212,GV-92,Żel z Kasztanowcem 200 ml,simple,publish,22.0,,,taxable,0,
214,GV-90,"Żel z Kasztanowcem, Miłorzębem i Babką Lancetowatą 200 ml",simple,publish,23.0,,,taxable,0,
216,GV-94,Żel z Żywkostem 200 ml,simple,publish,23.0,,,taxable,0,
218,GV-95,Żel ze świetlikiem i kolagenem 20 ml,simple,publish,15.0,,,taxable,0,
220,GV-93,Żel Żywokostowy z Boswellią 200 ml,simple,publish,23.0,,,taxable,0,
222,GV-96,Żel Żywokostowy z Jałowcem i MSM 200 ml,simple,publish,23.0,,,taxable,0,
224,GV-98,Żyworódka w Zasypce 50 ml,simple,publish,16.0,,,taxable,0,
226,GV-27,APHTIHELP gel 10 g,simple,publish,15.0,,,taxable,0,
228,5907636994763,Aurix 35 ml,simple,publish,20.0,,reduced-rate,taxable,0,5907636994763
